Localización,Precio m2,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,Año
Tarragona,2.036 €/m2,"0,004","0,009","0,074",2.550 €/m2 oct 2008,"- 20,2 %",2024
Ceuta,2.350 €/m2,"0,022","0,045","0,074",2.393 €/m2 mar 2025,"- 1,8 %",2024
Ceuta provincia,2.350 €/m2,"0,022","0,045","0,074",2.393 €/m2 mar 2025,"- 1,8 %",2024
Ceuta,2.350 €/m2,"0,022","0,045","0,074",2.393 €/m2 mar 2025,"- 1,8 %",2024
Comunitat Valenciana,2.061 €/m2,"0,016","0,038","0,16",2.207 €/m2 mayo 2025,"- 6,6 %",2024
Alicante/Alacant,2.364 €/m2,"0,012","0,029","0,15",2.521 €/m2 mayo 2025,"- 6,2 %",2024
Alicante / Alacant,2.265 €/m2,"0,024","0,061","0,182",2.371 €/m2 mayo 2025,"- 4,5 %",2024
Castellón/Castelló,1.326 €/m2,"0,004","0,023","0,086",1.953 €/m2 jul 2007,"- 32,1 %",2024
Castellón de la Plana / Castello de la Plana,1.394 €/m2,"0,007","0,03","0,091",1.831 €/m2 ene 2008,"- 23,9 %",2024
Valencia/Valéncia,1.602 €/m2,"0,018","0,059","0,146",1.943 €/m2 oct 2006,"- 17,6 %",2024
València,2.836 €/m2,"0,009","0,048","0,24",3.017 €/m2 mayo 2025,"- 6,0 %",2024
Euskadi,3.076 €/m2,"0,014","0,028","0,074",3.255 €/m2 abr 2011,"- 5,5 %",2024
Álava,2.403 €/m2,"0,004","0,041","0,06",2.490 €/m2 ene 2011,"- 3,5 %",2024
Vitoria-Gasteiz,2.718 €/m2,"0,014","0,033","0,079",2.975 €/m2 oct 2008,"- 8,6 %",2024
Guipúzcoa,3.746 €/m2,"0,014","0,026","0,069",3.862 €/m2 mayo 2025,"- 3,0 %",2024
Donostia-San Sebastián,5.681 €/m2,"0,002","0,02","0,059",6.025 €/m2 mayo 2025,"- 5,7 %",2024
Vizcaya,2.934 €/m2,"0,011","0,026","0,064",3.360 €/m2 abr 2011,"- 12,7 %",2024
Bilbao,3.491 €/m2,"0,022","0,031","0,077",3.591 €/m2 mayo 2011,"- 2,8 %",2024
Extremadura,986 €/m2,"- 0,8 %","0,013","0,028",1.217 €/m2 abr 2011,"- 19,0 %",2024
Badajoz provincia,972 €/m2,"- 0,8 %","0,007","- 0,6 %",1.278 €/m2 abr 2011,"- 23,9 %",2024
Badajoz,1.483 €/m2,"0,002","0,006","0,062",1.719 €/m2 abr 2008,"- 13,7 %",2024
Cáceres provincia,1.001 €/m2,"- 0,8 %","0,02","0,072",1.174 €/m2 mar 2008,"- 14,7 %",2024
Cáceres,1.361 €/m2,"0,005","0,037","0,093",1.600 €/m2 jul 2008,"- 14,9 %",2024
Galicia,1.437 €/m2,"0,003","0,017","0,045",1.775 €/m2 nov 2011,"- 19,1 %",2024
A Coruña provincia,1.435 €/m2,"0,011","0,028","0,066",1.832 €/m2 nov 2011,"- 21,7 %",2024
A Coruña,2.680 €/m2,"0,03","0,051","0,147",2.895 €/m2 ago 2008,"- 7,4 %",2024
