Total Nacional;Comunidades y Ciudades Autónomas;Superficie útil de la vivienda;Tamaño del hogar;periodo;Total
Total Nacional;;Más de 150 m2;3 personas;2020;454,4
Total Nacional;;Más de 150 m2;3 personas;2019;456,3
Total Nacional;;Más de 150 m2;3 personas;2018;404,7
Total Nacional;;Más de 150 m2;3 personas;2017;380,2
Total Nacional;;Más de 150 m2;3 personas;2016;394,3
Total Nacional;;Más de 150 m2;3 personas;2015;428,0
Total Nacional;;Más de 150 m2;3 personas;2014;410,9
Total Nacional;;Más de 150 m2;3 personas;2013;402,6
Total Nacional;;Más de 150 m2;4 personas;2020;482,0
Total Nacional;;Más de 150 m2;4 personas;2019;468,4
Total Nacional;;Más de 150 m2;4 personas;2018;455,4
Total Nacional;;Más de 150 m2;4 personas;2017;389,5
Total Nacional;;Más de 150 m2;4 personas;2016;447,6
Total Nacional;;Más de 150 m2;4 personas;2015;489,4
Total Nacional;;Más de 150 m2;4 personas;2014;450,3
Total Nacional;;Más de 150 m2;4 personas;2013;427,9
Total Nacional;;Más de 150 m2;5 personas;2020;125,2
Total Nacional;;Más de 150 m2;5 personas;2019;129,4
Total Nacional;;Más de 150 m2;5 personas;2018;142,3
Total Nacional;;Más de 150 m2;5 personas;2017;137,7
Total Nacional;;Más de 150 m2;5 personas;2016;156,1
Total Nacional;;Más de 150 m2;5 personas;2015;163,0
Total Nacional;;Más de 150 m2;5 personas;2014;151,0
Total Nacional;;Más de 150 m2;5 personas;2013;140,1
Total Nacional;;Más de 150 m2;6 personas;2020;51,8
Total Nacional;;Más de 150 m2;6 personas;2019;39,4
Total Nacional;;Más de 150 m2;6 personas;2018;40,1
Total Nacional;;Más de 150 m2;6 personas;2017;30,7
Total Nacional;;Más de 150 m2;6 personas;2016;45,8
Total Nacional;;Más de 150 m2;6 personas;2015;34,0
Total Nacional;;Más de 150 m2;6 personas;2014;43,8
Total Nacional;;Más de 150 m2;6 personas;2013;45,2
Total Nacional;;Más de 150 m2;7 personas;2020;26,8
Total Nacional;;Más de 150 m2;7 personas;2019;15,3
Total Nacional;;Más de 150 m2;7 personas;2018;12,8
Total Nacional;;Más de 150 m2;7 personas;2017;9,7
Total Nacional;;Más de 150 m2;7 personas;2016;6,5
Total Nacional;;Más de 150 m2;7 personas;2015;10,3
Total Nacional;;Más de 150 m2;7 personas;2014;6,2
Total Nacional;;Más de 150 m2;7 personas;2013;7,3
