Comunidades y Ciudades Autónomas,Tipo Vivienda,Tipo Indicador,Periodo,Total
01 Andalucía,Vivienda nueva,Variación trimestral,2018T1,0.9
01 Andalucía,Vivienda nueva,Variación trimestral,2017T4,0.2
01 Andalucía,Vivienda nueva,Variación trimestral,2017T3,1.2
01 Andalucía,Vivienda nueva,Variación trimestral,2017T2,1.9
01 Andalucía,Vivienda nueva,Variación trimestral,2017T1,2.2
01 Andalucía,Vivienda nueva,Variación trimestral,2016T4,-0.8
01 Andalucía,Vivienda nueva,Variación trimestral,2016T3,-1.3
01 Andalucía,Vivienda nueva,Variación trimestral,2016T2,4.1
01 Andalucía,Vivienda nueva,Variación trimestral,2016T1,2.8
01 Andalucía,Vivienda nueva,Variación trimestral,2015T4,1.8
01 Andalucía,Vivienda nueva,Variación trimestral,2015T3,-0.3
01 Andalucía,Vivienda nueva,Variación trimestral,2015T2,3.2
01 Andalucía,Vivienda nueva,Variación trimestral,2015T1,1.7
01 Andalucía,Vivienda nueva,Variación trimestral,2014T4,0.4
01 Andalucía,Vivienda nueva,Variación trimestral,2014T3,0.9
01 Andalucía,Vivienda nueva,Variación trimestral,2014T2,1.0
01 Andalucía,Vivienda nueva,Variación trimestral,2014T1,0.3
01 Andalucía,Vivienda nueva,Variación trimestral,2013T4,-0.3
01 Andalucía,Vivienda nueva,Variación trimestral,2013T3,1.4
01 Andalucía,Vivienda nueva,Variación trimestral,2013T2,-2.2
01 Andalucía,Vivienda nueva,Variación trimestral,2013T1,-4.6
01 Andalucía,Vivienda nueva,Variación trimestral,2012T4,-2.4
01 Andalucía,Vivienda nueva,Variación trimestral,2012T3,-1.2
01 Andalucía,Vivienda nueva,Variación trimestral,2012T2,-3.7
01 Andalucía,Vivienda nueva,Variación trimestral,2012T1,-3.6
01 Andalucía,Vivienda nueva,Variación trimestral,2011T4,-2.3
01 Andalucía,Vivienda nueva,Variación trimestral,2011T3,-1.8
01 Andalucía,Vivienda nueva,Variación trimestral,2011T2,-0.3
01 Andalucía,Vivienda nueva,Variación trimestral,2011T1,-0.9
01 Andalucía,Vivienda nueva,Variación trimestral,2010T4,-0.6
01 Andalucía,Vivienda nueva,Variación trimestral,2010T3,-2.7
01 Andalucía,Vivienda nueva,Variación trimestral,2010T2,1.9
01 Andalucía,Vivienda nueva,Variación trimestral,2010T1,-0.8
01 Andalucía,Vivienda nueva,Variación trimestral,2009T4,-0.7
01 Andalucía,Vivienda nueva,Variación trimestral,2009T3,-0.5
01 Andalucía,Vivienda nueva,Variación trimestral,2009T2,-0.6
01 Andalucía,Vivienda nueva,Variación trimestral,2009T1,0.1
01 Andalucía,Vivienda nueva,Variación trimestral,2008T4,-1.2
